fold,MSE,RMSE,MAE,Recall,Precision,F1,Accuracy,Custom Score,Time Prediction [s],Num Parameters
Surge1,0.124,0.352,0.26,0.497,0.5,0.498,0.994,0.387,0.009310507005260836,88987928
Surge2,0.031,0.176,0.135,0.496,0.5,0.498,0.993,0.359,0.00894341111555308,88987928
Surge3,0.15,0.388,0.266,0.413,0.241,0.253,0.945,0.576,0.01279508583751603,88987928
Surge4,0.095,0.309,0.21,0.417,0.222,0.224,0.945,0.573,0.015167561083504859,88987928
Surge5,0.081,0.285,0.218,0.663,0.506,0.505,0.975,0.37,0.014105296159758156,88987928
Surge6,0.056,0.237,0.176,0.471,0.45,0.443,0.963,0.402,0.013967667608429813,88987928
Surge7,0.043,0.208,0.158,0.498,0.5,0.499,0.997,0.363,0.01669206554758189,88987928
normal1,0.026,0.161,0.123,1.0,1.0,1.0,1.0,0.008,0.015156819098449771,88987928
normal2,0.024,0.155,0.122,1.0,1.0,1.0,1.0,0.007,0.015584364641965614,88987928
normal3,0.065,0.256,0.192,1.0,1.0,1.0,1.0,0.02,0.013210729555334434,88987928
